Job ID,Job Link,Resume Tried,Date listed,Date Tried,Assumed Reason,Stack Trace,External Job link,Screenshot Name
4393408184,https://www.linkedin.com/jobs/view/4393408184,Pending,2026-04-03 11:18:21.988146,2026-04-04 11:18:22.074146,Found a Bad Word in About Job,"
About the job
Watch this ⤵️! Our Head of Engineering explains why we’re hiring for this role:
https://www.loom.com/share/a138d9daba1649b58b2cc343b485a4b1

About ProcurePro
Mission > To save 1 BILLION construction admin hours.
What we do > Our market leading technology helps major builders contract with their supply chain by consolidating fragmented and manual procurement processes into a single platform (currently solved by Word, Excel & email).
Recent News: Funding → by Australia’s premier venture capital fund Airtree, recently raised $6.15m in 2023: https://shorturl.at/vUpBX
2024 & 2025 LinkedIn Top Startups, https://tinyurl.com/y5eeucww
Put on Unicorn watch list of QLDs startups, https://shorturl.at/53yWH
Deloitte’s Tech Fast 50 in 2025 - https://tinyurl.com/4p7t72bn

Values we live by
Better people build better companies
Whole arse it, with ruthless pragmatism
Help the customer win
(We’ll tell you more about these as discussions progress)

Our Product-Led strategy
We’re Founded by Developers and Designers (as well as domain experts) - technical excellence is in our DNA. This means:
We spend time up front properly designing new work, testing with customers etc, whilst solving fun technical problems.
We continually invest in testing/quality - we’ve written 10,000+ automated tests in the last 2 years, we're huge advocates for static analysis & type safety, and our infrastructure is automated with Terraform.
Our entire team (including our CEO) is bought into this mindset, as we're reaping the rewards of shipping quality code, avoiding re-work & moving fast as a team.
We're actively rebuilding our processes to be AI-native, not just AI-assisted, and we want engineers who wants to help shape this transition

Our Tech Stack
Backend is Symfony 6 + PHP 8
Frontend is 100% Typescript + Aurelia
Some AWS Lambda functions written in Typescript
Dozens of different testing, code quality and static analysis tools
Infrastructure is managed with Terraform on top of AWS
You don't need experience in all of these technologies to succeed - we look for curious folks with growth mindsets and an interest to work with this stack.

Key aspects of this role
Ship quality features end-to-end > own work from shaping through to deployment and beyond, with tests written as part of the process, not bolted on after
Be an active voice in design phase > contribute during the upfront design phase alongside developers, designers, the product lead, and users; your technical perspective should influence what gets built and how
Use AI as a force multiplier > leverage AI tooling throughout your entire workflow, from investigation to implementation to review; the expectation is fluency, not occasional use
Maintain and raise the quality bar > contribute to our testing culture, engage with static analysis and type safety tooling, and help us keep the codebase in a state we're proud of
Help grow the team around you > work closely with junior developers, share context generously, and contribute to a culture where the whole team gets better
Think critically, not just technically > push back on unclear requirements, ask why before writing code, and bring your judgment to product and architectural decisions, not just implementation

You’re ideal for the role if you have…
2+ years as a software engineer > ideally in a SaaS product environment where you've owned features end-to-end
AI Native Fluency > you use AI tools throughout your entire workflow, not just when you're stuck; you can talk concretely about how you use them & where you apply judgment
Modern frameworks > Experience/familiarity with modern Javascript/TypeScript frameworks (Vue / React / Angular / Aurelia) and/or modern PHP (Symfony / Laravel / CodeIgniter) - we expect some up-skilling/cross-skilling
Quality-obsession > you're excited by test-driven development, static analysis, and building things properly; quality isn't a chore to you, it's how you work
Enthusiastic problem solver > excited by solving technical challenges and building a product with a heavy focus on quality (test-driven development, infrastructure as code etc)
Critical thinking skills > you challenge vague specs, understand the problem before reaching for a solution, and bring genuine reasoning to decisions
Growth-oriented and mission-driven > you're hungry to improve, open to feedback, and want to grow with a scaling business; you thrive in a fast paced, ambiguous environment

Our culture
Remote First - work from anywhere in Australia - we were remote-first before Covid, have established processes around collaboration/culture to ensure inclusiveness & engagement.
Socials - We have regular online social events, quarterly in person socials & hold annual off-sites in person.
Team First - we’re close knit, highly collaborative, actively help each other succeed (knowledge sharing, training) to develop our teams’ capabilities
High Expectations - we’re self motivated, embrace velocity as our greatest advantage, take pride in what we do and push to reach our potential.
Radical Transparency - we believe in flat structures & sharing knowledge, everyone is privy to what happens day-to-day and nothing is hidden (i.e. company strategy, finances & all).
Extra Leave Days - A day off for your Birthday and an extra day off before Christmas

Compensation
$100k-120k + Super (salary based on experience)
Computer equipment allowance to ensure you have everything you need to be successful working remotely

How to apply
Hit Apply and fill out the form with your information, CV and answer to the question ""Why do you want to work for ProcurePro?”

What happens next
Shortlisted applicants will have an introductory call [20 mins]
You’ll receive a short assessment to complete [~ 2 hours]
Assessment presentation and discussion call [~1.5 hour]
If successful, we will check references & make you an offer!

Extras:
All our interviews are recorded and shared internally with the CEO and hiring manager. We do this so that our team can make better decisions.
Applications are reviewed on a rolling basis, so speed is key. The sooner you apply, the better!
If you love the sound of working for us and the role described but the title/salary doesn’t align to your experience, please don’t let that stop you applying. We celebrate diversity and we want people of all genders, races, ages, backgrounds, beliefs, and life experiences to join our team.
We complete police checks or the equivalent once you join as part of our SOC2 compliance requirements.
We cannot sponsor visas. You must be based in the country of the advertised role and have the right to work independently. Otherwise, we cannot proceed with your application. Yes, we are remote, but we can only employ in the country advertised.

Contains bad word ""PHP"". Skipping this job!
",Skipped,Not Available
4393035642,https://www.linkedin.com/jobs/view/4393035642,Pending,2026-04-02 11:18:32.030506,2026-04-04 11:18:32.125506,Found a Bad Word in About Job,"
About the job
Location: Melton (Hybrid)

Salary: Up to £50,000

Working hours:09:00 – 17:30

The purpose of this role is to solve complex business problems and technical challenges through the design and development of software applications and services. This role will contribute directly towards exciting technology opportunities in the public health sector; specifically in general practice.

You will be responsible for building and maintaining critical components of our software infrastructure, ensuring high performance, reliability, and security. This role sits within the platform team.

Responsibilities

Design and Development

Contribute towards the design, develop, and implement high-performance, scalable, and maintainable applications and services
Develop APIs and other web services
Work with databases (relational and NoSQL) to implement data models
Contribute towards all phases of the software development lifecycle, from design and development through to testing, deployment and monitoring & alerting

Technical Leadership

Assist and unblock other members of the team where appropriate
Conduct code reviews and provide constructive feedback
Contribute towards the development of software engineering best practices and principles
Participate in architectural and design discussions
Stay abreast of the latest technologies and industry trends

Problem-Solving

Assist with the diagnosis and assessment of complex technical issues
Identify and contribute towards solutions designed to improve service or component security, performance, scalability, and reliability

Collaboration

Work closely with frontend engineers, product managers, and other stakeholders
Share ideas and prompt continuous improvement across the team

Quality Assurance & Compliance

Write unit tests and integration tests to ensure code quality
Participate in code reviews and ensure adherence to coding standards
Comply with the company's Health & Safety, Data Protection, Information Security, PCI & DSP policies and procedures.

Essential

Skills Required

Knowledge of the product development lifecycle
Considerable working experience with modern PHP including frameworks (e.g. Laravel)
Source control (e.g. GitLab)
Working experience with structured and unstructured databases (e.g. MySQL)
Knowledge of or working experience with Message Queues (RabbitMQ) & event driven architecture
Strong knowledge of software design patterns and object-oriented design principles
Working experience of unit test frameworks and test automation

Desired

Strong expertise in Agile methodologies (e.g. Scrum / Kanban)
DevOps tooling
Node.js
Healthcare industry experience (NHS)
VOIP call handling

Benefits

25 Days Holiday plus an additional day for your birthday/equivalent
Cycle to Work Scheme
Winter Flu Jabs
Free On-Site Parking
Learning and development budget with Professional Qualification Support
£1,000 employee referral bonus
Social benefits (paid social events)
Buy Holiday Scheme
Employee Assistance Program
Discount on Health Insurance
Annual Salary Review
Enhanced Company Sick Pay
Monthly pizza in the office (Hybrid employees) / coffee voucher (Remote employees)
SCG mobile benefit

SCG is proud to be an equal opportunities employer.

 We welcome applications from all parts of the community and are committed to upholding the principles of the Equality Act 2010.

We are committed to supporting applicants with disabilities. We will endeavour to make necessary adjustments to ensure a fair and accessible recruitment process

Contains bad word ""PHP"". Skipping this job!
",Skipped,Not Available
4394393533,https://www.linkedin.com/jobs/view/4394393533,Pending,2026-04-02 11:18:36.597087,2026-04-04 11:18:36.662086,Found a Bad Word in About Job,"
About the job
Salary $77,000 - $90,000 plus Super 
Full Time Employment

About Quantaco

Hospitality moves fast the tools should keep up too. At Quantaco, we’re building technology that empowers hospitality businesses to work smarter, not harder. No more disconnected systems that slow you down and create extra work.

Australia’s only locally owned and operated Hospitality Management System, designed to simplify processes, save time, and deliver actionable insights for venues of any size.

Our suite of software and service solutions is optimised to work best together but designed to function independently, delivering the actionable insights and financial reporting pubs, clubs, and restaurants need to thrive.

We empower businesses through expert accounting services, real-time reporting, and connected hospitality operations tools. These tools simplify work, save time, and help venues make decisions that drive growth whether it’s one venue or one hundred.

About The Role

The primary purpose of the Software Developer is to manage the design, installation, testing and maintenance of software systems for our Cooking the Books (CTB) design suite.

This role will be responsible for excellent technical support and the development of software improvements for existing CTB programs or providing entirely new programs for release to the market.

What You’ll Do

Maintain and improve the performance of CTB’s existing software and maintain its’ websites, in-house hardware and network systems

Test, maintain and recommend software improvements to ensure strong functionality and optimisation

Review current systems and identify ideas to improve system performance and impact availability, including cost proposals

Facilitate root cause analysis of system issues and faults;

Resolve complex technical design issues;

Test new products or software improvement releases in a controlled environment before going live;

Proactively seek to continuously understand the design characteristics offered by key competitors; developing design concepts that surpass competitors;

Work closely with analysts, designers and staff to ensure programs operate effectively;

Assist with the preparation of training manuals for users;

Analyse user requirements and convert requirements to design documents;

Provide comprehensive support to internal customers, including achieving resolution to outstanding problems or issues;

Develop and implement new software;

Assist the Marketing department with preparation of digital design collateral in line with CTB’s brand guidelines;

Automate repetitive technical tasks

About You

You are organised and a fast learner

You have a mature, design-led approach to software development

Integrity, honesty, trust, and respect

Self-motivated, but you love working in a team

Innovative and always looking for ways to improve

You’re an effective communicator, patient, and able to explain your point of view

Have a degree in Computer Science or equivalent

Have 2+ years’ experience in C# and.Net Framework;

Possess strong technical knowledge of web technologies (Javascript, CSS, HTML, etc.);

Are proficient in C#, ASP.NET MVC and Web API

Have knowledge of ASP.NET Core, ADO.net and ORMs (EntityFramework, Dapper.net, NHibernate)

Have knowledge of Databases: SQL Server, PostgreSQL (Store Procedures, and NoSql: Redis and MongoGB)

Are proficient in JavaScript frameworks: AngularJs, VueJs, and ExtJs

Possess knowledge of Microsoft Azure cloud platform (App Service, Service Bus, Service Fabric)

Have experience with Source Code Control: SVN and GIT

Have a demonstrated understanding of projects from the perspective of both client and busines

Possess proficient verbal and written communication skills;

Have effective time management skills and the ability to meet deadlines

Have the ability to solve problems by being collaborative, creative and analytical

Why Join Us?

At Quantaco, we’re passionate about building technology that solves real-world problems in hospitality. Our team is collaborative, curious, and committed to making an impact and we want you to grow with us.

Reward: Competitive salary + up to 20% discretionary performance bonus
Wellbeing: Hybrid working, birthday leave, and wellness discounts through our benefits portal
Culture: Fortnightly collaboration days, social calendar, team events, peer recognition, and a strong commitment to inclusion
Growth: Study assistance, a structured development framework, and our Women at Quantaco initiative to support diverse career progression

Ready to build the future of hospitality tech?

Apply now or reach out for a confidential chat. We’d love to meet you.

Quantaco Pty Ltd, Level 4 / 6 O'Connell Street Sydney NSW 2000

Contains bad word "".NET"". Skipping this job!
",Skipped,Not Available
4394249466,https://www.linkedin.com/jobs/view/4394249466,Previous resume,2026-04-04 10:50:47.788421,2026-04-04 11:19:13.091301,Problem in Easy Applying,Application was not confirmed as submitted,Easy Applied,Not Available
4397391723,https://www.linkedin.com/jobs/view/4397391723,Pending,2026-04-04 06:20:24.561404,2026-04-04 11:20:26.225914,Probably didn't find Apply button or unable to switch tabs.,"Message: invalid session id: session deleted as the browser has closed the connection
from disconnected: not connected to DevTools
  (Session info: chrome=146.0.7680.178); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
	undetected_chromedriver!GetHandleVerifier [0x4fcdf3+10b03]
	undetected_chromedriver!GetHandleVerifier [0x4fcf24+10c34]
	undetected_chromedriver!(No symbol) [0x2e2120]
	undetected_chromedriver!(No symbol) [0x2cfe7e]
	undetected_chromedriver!(No symbol) [0x2d0b46]
	undetected_chromedriver!(No symbol) [0x2e2a57]
	undetected_chromedriver!(No symbol) [0x2c0708]
	undetected_chromedriver!(No symbol) [0x35d1a1]
	undetected_chromedriver!(No symbol) [0x34dad3]
	undetected_chromedriver!(No symbol) [0x320229]
	undetected_chromedriver!(No symbol) [0x320fe4]
	undetected_chromedriver!GetHandleVerifier [0x7648b9+2785c9]
	undetected_chromedriver!GetHandleVerifier [0x75feb5+273bc5]
	undetected_chromedriver!GetHandleVerifier [0x77e06b+291d7b]
	undetected_chromedriver!GetHandleVerifier [0x515cc8+299d8]
	undetected_chromedriver!GetHandleVerifier [0x51d9fd+3170d]
	undetected_chromedriver!GetHandleVerifier [0x5058c8+195d8]
	undetected_chromedriver!GetHandleVerifier [0x505a92+197a2]
	undetected_chromedriver!GetHandleVerifier [0x4eee9a+2baa]
	KERNEL32!BaseThreadInitThunk [0x7613fcc9+19]
	ntdll!RtlGetAppContainerNamedObjectPath [0x772782ae+11e]
	ntdll!RtlGetAppContainerNamedObjectPath [0x7727827e+ee]
",Easy Applied,Not Available
