Job ID,Job Link,Resume Tried,Date listed,Date Tried,Assumed Reason,Stack Trace,External Job link,Screenshot Name
4380158520,https://www.linkedin.com/jobs/view/4380158520,Previous resume,2026-03-05 13:24:30.206337,2026-04-04 13:24:35.493547,Problem in Easy Applying,Easy Apply modal did not open,Easy Applied,Not Available
4372364442,https://www.linkedin.com/jobs/view/4372364442,Pending,2026-03-31 13:24:49.565183,2026-04-04 13:24:53.368474,Probably didn't find Apply button or unable to switch tabs.,"Message: no such window
  (Session info: chrome=146.0.7680.178)
Stacktrace:
	undetected_chromedriver!GetHandleVerifier [0x74cdf3+10b03]
	undetected_chromedriver!GetHandleVerifier [0x74cf24+10c34]
	undetected_chromedriver!(No symbol) [0x531f5e]
	undetected_chromedriver!(No symbol) [0x5ad7f2]
	undetected_chromedriver!(No symbol) [0x59dad3]
	undetected_chromedriver!(No symbol) [0x570229]
	undetected_chromedriver!(No symbol) [0x570fe4]
	undetected_chromedriver!GetHandleVerifier [0x9b48b9+2785c9]
	undetected_chromedriver!GetHandleVerifier [0x9afeb5+273bc5]
	undetected_chromedriver!GetHandleVerifier [0x9ce06b+291d7b]
	undetected_chromedriver!GetHandleVerifier [0x765cc8+299d8]
	undetected_chromedriver!GetHandleVerifier [0x76d9fd+3170d]
	undetected_chromedriver!GetHandleVerifier [0x7558c8+195d8]
	undetected_chromedriver!GetHandleVerifier [0x755a92+197a2]
	undetected_chromedriver!GetHandleVerifier [0x73ee9a+2baa]
	KERNEL32!BaseThreadInitThunk [0x7613fcc9+19]
	ntdll!RtlGetAppContainerNamedObjectPath [0x772782ae+11e]
	ntdll!RtlGetAppContainerNamedObjectPath [0x7727827e+ee]
",https://jobs.dsv.com/job/Tullamarine-Customer-Service-Specialist%2C-Air-&-Sea-VIC-3045/1294008501/,Not Available
